OBJECTID,GEOID,NAME,Total_Population,White_Total,Black_Total,AmerInd_AlaskaNat_Total,Asian_Total,NatHawaii_OthPI_Total,Some_Other_Race_Total,Two_or_More_Races_Total,WhiteNH_Total,POC_Total,Total_Under_18,White_Under_18,Black_Under_18,AmerInd_AlaskaNat_Under_18,Asian_Under_18,NatHawaii_OthPI_Under_18,Some_Other_Race_Under_18,Two_or_More_Races_Under_18,WhiteNH_Under_18,POC_Under_18,Total_65_and_Over,White_65_and_Over,Black_65_and_Over,AmerInd_AlaskaNat_65_and_Over,Asian_65_and_Over,NatHawaii_OthPI_65_and_Over,Some_Other_Race_65_and_Over,Two_or_More_Races_65_and_Over,WhiteNH_65_and_Over,POC_65_and_Over,Total_18_to_64,White_18_to_64,Black_18_to_64,AmerInd_AlaskaNat_18_to_64,Asian_18_to_64,NatHawaii_OthPI_18_to_64,Some_Other_Race_18_to_64,Two_or_More_Races_18_to_64,WhiteNH_18_to_64,POC_18_to_64,ACS_VINTAGE,TRACT_LABEL,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES
1,53033000100,"Census Tract 1, King County, Washington",5784,3852,436,83,710,11,412,280,3330,2454,730,437,58,0,93,0,112,30,307,423,467,382,0,0,85,0,0,0,359,108,4587,3033,378,83,532,11,300,250,2664,1923,5Y10,1,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach"
2,53033000200,"Census Tract 2, King County, Washington",7682,5929,181,32,1017,139,138,246,5383,2299,1257,936,5,5,141,70,0,100,737,520,1066,872,28,0,110,39,0,17,872,194,5359,4121,148,27,766,30,138,129,3774,1585,5Y10,2,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park"
3,53033000300,"Census Tract 3, King County, Washington",2548,1967,27,17,406,0,30,101,1856,692,417,268,0,0,112,0,10,27,206,211,311,207,0,17,80,0,0,7,207,104,1820,1492,27,0,214,0,20,67,1443,377,5Y10,3,Seattle,9.5,9,Haller Lake,"Haller Lake, Pinehurst"
4,53033000401,"Census Tract 4.01, King County, Washington",5805,3801,626,178,664,65,93,378,3607,2198,807,389,166,0,72,0,0,180,317,490,1081,777,86,0,200,0,18,0,777,304,3917,2635,374,178,392,65,75,198,2513,1404,5Y10,4.01,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake"
5,53033000402,"Census Tract 4.02, King County, Washington",4662,3648,355,131,192,48,16,272,3495,1167,814,525,82,48,16,26,0,117,495,319,1217,1054,78,32,26,0,0,27,1042,175,2631,2069,195,51,150,22,16,128,1958,673,5Y10,4.02,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake"
6,53033000500,"Census Tract 5, King County, Washington",3474,2857,24,16,421,0,26,130,2788,686,674,537,12,0,86,0,0,39,504,170,580,546,0,0,34,0,0,0,534,46,2220,1774,12,16,301,0,26,91,1750,470,5Y10,5,Seattle,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake"
7,53033000600,"Census Tract 6, King County, Washington",7235,4354,827,19,1436,138,122,339,4008,3227,995,556,153,0,201,39,0,46,425,570,1377,1165,14,0,151,0,0,47,1146,231,4863,2633,660,19,1084,99,122,246,2437,2426,5Y10,6,Seattle,9.5,9,Haller Lake,"Haller Lake, Pinehurst"
8,53033000700,"Census Tract 7, King County, Washington",4643,2876,584,0,1031,0,50,102,2753,1890,598,376,73,0,119,0,16,14,376,222,357,257,0,0,88,0,0,12,257,100,3688,2243,511,0,824,0,34,76,2120,1568,5Y10,7,Seattle,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park"
9,53033000800,"Census Tract 8, King County, Washington",2986,2342,117,0,379,0,10,138,2334,652,566,316,76,0,99,0,0,75,316,250,463,429,16,0,18,0,0,0,429,34,1957,1597,25,0,262,0,10,63,1589,368,5Y10,8,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach"
10,53033000900,"Census Tract 9, King County, Washington",2025,1742,0,0,153,0,0,130,1645,380,428,342,0,0,25,0,0,61,294,134,283,283,0,0,0,0,0,0,283,0,1314,1117,0,0,128,0,0,69,1068,246,5Y10,9,Seattle,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach"
